tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Smith, Cameron",15856,1,1,Waialae Country Club,6,70,1,12:10pm,70,4.798,-1.394,-1.591,0.181,-2.805,1.993,279.1,0.571,0.667,0.429,38.621,35.28,7,4,0,6,8,3,1
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Smith, Cameron",15856,1,2,Waialae Country Club,6,70,10,7:30am,65,0.42,0.313,3.529,0.997,4.839,5.259,289.7,0.643,0.833,1.0,37.341,25.087,4,2,0,6,11,1,0
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Smith, Cameron",15856,1,3,Waialae Country Club,6,70,1,1:00pm,66,1.849,2.806,-0.708,-0.371,1.727,3.576,288.7,0.571,0.667,1.0,51.528,29.102,3,2,0,5,12,1,0
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Smith, Cameron",15856,1,4,Waialae Country Club,6,70,1,12:30pm,68,1.165,0.649,-2.073,1.032,-0.392,0.773,283.0,0.786,0.667,0.714,67.19,39.876,1,3,0,4,12,2,0
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Steele, Brendan",11019,2,1,Waialae Country Club,6,70,1,12:20pm,68,3.466,-2.041,2.695,-0.126,0.527,3.993,280.7,0.357,0.722,0.714,29.87,29.659,6,4,0,5,10,3,0
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Steele, Brendan",11019,2,2,Waialae Country Club,6,70,10,7:40am,66,3.444,0.259,1.393,-0.837,0.815,4.259,285.8,0.714,0.667,0.714,78.003,25.055,6,2,1,6,8,2,1
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Steele, Brendan",11019,2,3,Waialae Country Club,6,70,1,1:00pm,64,2.654,-0.745,3.564,0.103,2.922,5.576,288.8,0.643,0.722,0.6,32.892,20.878,6,2,1,6,9,2,0
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Steele, Brendan",11019,2,4,Waialae Country Club,6,70,1,12:30pm,71,-3.614,1.626,-1.212,0.973,1.387,-2.227,277.0,0.857,0.722,0.667,47.223,43.365,1,7,0,2,13,3,0
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Simpson, Webb",11049,3,1,Waialae Country Club,6,70,1,12:30pm,71,0.78,-0.463,1.445,-0.768,0.213,0.993,285.0,0.714,0.611,0.556,48.92,35.627,5,7,0,4,11,1,2
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Simpson, Webb",11049,3,2,Waialae Country Club,6,70,10,7:50am,66,2.382,1.28,0.265,0.332,1.877,4.259,270.6,0.714,0.722,0.571,35.178,34.906,5,2,0,6,10,2,0
pga,2020,2020,2020-01-12,Sony Open in Hawaii,6,"Simpson, Webb",11049,3,3,Waialae Country Club,6,70,1,12:00pm,66,1.131,0.88,0.892,0.673,2.445,3.576,282.3,0.786,0.722,0.667,111.346,27.535,2,2,0,6,10,2,0
